                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2548,                0.85674,                 1.2343,                0.66465,                 0.5269,                0.57136,                0.27049,                 1.9855,                 1.2862,                  1.445,             0.00082925,             0.00082925,             0.00082925
                     36,                 1.2427,                0.84885,                 1.2304,                0.62338,                0.55545,                 0.5936,                0.29079,                 1.9179,                 1.2135,                 1.4096,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.2449,                0.85569,                 1.2314,                0.62941,                0.59898,                0.60523,                  0.293,                 1.9358,                 1.2145,                 1.4263,              0.0008045,              0.0008045,              0.0008045
                     38,                 1.2359,                0.83518,                 1.2203,                0.65623,                0.58032,                0.61452,                0.29026,                 1.9544,                 1.2472,                 1.4193,             0.00079213,             0.00079213,             0.00079213
                     39,                 1.2273,                 0.8299,                 1.2164,                0.64175,                0.58763,                0.62357,                0.30112,                 1.9257,                 1.1965,                 1.4103,             0.00077975,             0.00077975,             0.00077975
                     40,                 1.2181,                0.82019,                 1.2103,                 0.6447,                0.55898,                0.60235,                 0.2928,                 1.9154,                 1.2375,                  1.398,             0.00076738,             0.00076738,             0.00076738
                     41,                 1.2211,                0.82652,                 1.2128,                0.58049,                0.59928,                 0.6049,                 0.2944,                 1.9117,                 1.2261,                  1.406,               0.000755,               0.000755,               0.000755
                     42,                 1.2242,                0.82657,                 1.2179,                0.61216,                0.56335,                 0.5897,                0.28936,                 1.9129,                 1.2664,                 1.4096,             0.00074263,             0.00074263,             0.00074263
                     43,                 1.2242,                0.83017,                 1.2137,                0.62154,                0.60548,                0.61384,                0.29773,                 1.9117,                 1.2176,                 1.4092,             0.00073025,             0.00073025,             0.00073025
                     44,                 1.2179,                0.81326,                 1.2134,                0.64579,                0.60665,                0.62084,                0.30214,                 1.9331,                 1.1673,                 1.4047,             0.00071788,             0.00071788,             0.00071788
                     45,                 1.2043,                0.79657,                 1.2022,                0.63706,                0.57277,                0.59074,                0.27857,                 1.9645,                 1.2473,                 1.4252,              0.0007055,              0.0007055,              0.0007055
                     46,                 1.1913,                0.79672,                 1.1988,                0.63977,                0.61582,                0.62002,                0.29614,                 1.9082,                 1.1904,                 1.3795,             0.00069313,             0.00069313,             0.00069313
                     47,                 1.1969,                0.79248,                 1.1981,                 0.6447,                0.61389,                 0.6275,                 0.3067,                  1.915,                 1.1885,                 1.3893,             0.00068075,             0.00068075,             0.00068075
                     48,                 1.1937,                0.78789,                  1.196,                0.65971,                 0.6165,                0.62619,                0.29201,                 1.9376,                  1.215,                 1.4148,             0.00066838,             0.00066838,             0.00066838
                     49,                 1.1851,                0.78211,                 1.1925,                0.65277,                0.58788,                0.62417,                0.30725,                 1.9059,                 1.1745,                 1.3952,               0.000656,               0.000656,               0.000656
                     50,                 1.1934,                0.78163,                 1.1988,                0.63914,                 0.5894,                0.61738,                0.30424,                 1.9055,                 1.1949,                    1.4,             0.00064362,             0.00064362,             0.00064362
                     51,                 1.1833,                0.78596,                 1.1961,                0.65885,                0.60765,                0.62135,                0.29754,                 1.9147,                 1.2001,                 1.3997,             0.00063125,             0.00063125,             0.00063125
                     52,                 1.1797,                0.77787,                 1.1923,                0.66664,                0.55331,                0.59575,                 0.2845,                 1.9393,                 1.2554,                 1.4287,             0.00061887,             0.00061887,             0.00061887
                     53,                 1.1812,                0.76935,                 1.1895,                0.62717,                0.59033,                0.60769,                 0.2951,                 1.9159,                 1.2014,                 1.4059,              0.0006065,              0.0006065,              0.0006065
                     54,                 1.1668,                0.75854,                 1.1805,                 0.6426,                0.60601,                 0.6097,                0.29585,                 1.9043,                 1.2307,                 1.3992,             0.00059413,             0.00059413,             0.00059413
                     55,                 1.1669,                0.76349,                 1.1821,                0.65266,                0.59842,                0.60987,                 0.2927,                 1.9249,                 1.2439,                 1.4025,             0.00058175,             0.00058175,             0.00058175
                     56,                 1.1618,                0.76012,                  1.181,                0.64731,                0.56616,                0.59752,                 0.2921,                 1.9207,                 1.2474,                 1.4119,             0.00056938,             0.00056938,             0.00056938
                     57,                 1.1629,                 0.7528,                 1.1768,                0.67076,                0.61404,                0.63649,                0.30673,                 1.9141,                 1.1718,                 1.4024,               0.000557,               0.000557,               0.000557
                     58,                 1.1581,                0.74642,                 1.1723,                0.62372,                0.58434,                0.60362,                0.29507,                  1.909,                 1.2232,                 1.4044,             0.00054463,             0.00054463,             0.00054463
                     59,                  1.145,                0.74197,                 1.1748,                0.65559,                0.58393,                0.60733,                0.30078,                 1.9046,                 1.2163,                 1.4041,             0.00053225,             0.00053225,             0.00053225
                     60,                 1.1476,                0.73602,                 1.1707,                0.63623,                0.59918,                0.61229,                0.29201,                 1.9313,                  1.215,                 1.4143,             0.00051988,             0.00051988,             0.00051988
                     61,                 1.1515,                0.73876,                 1.1718,                 0.6717,                0.59965,                0.61997,                 0.3002,                 1.9129,                 1.2237,                 1.4048,              0.0005075,              0.0005075,              0.0005075
                     62,                 1.1462,                0.73398,                 1.1706,                0.65327,                0.61763,                0.62386,                0.30421,                 1.9116,                 1.1978,                 1.4082,             0.00049513,             0.00049513,             0.00049513
                     63,                 1.1388,                0.72588,                 1.1678,                 0.6445,                0.59331,                0.61124,                0.29898,                 1.9095,                 1.2192,                 1.4004,             0.00048275,             0.00048275,             0.00048275
                     64,                 1.1342,                0.72153,                 1.1626,                0.65783,                0.57921,                0.61608,                0.30132,                 1.9105,                 1.1983,                 1.3958,             0.00047038,             0.00047038,             0.00047038
                     65,                 1.1298,                0.71983,                 1.1643,                0.62606,                0.61467,                0.61333,                0.30373,                 1.9044,                 1.1843,                 1.3981,               0.000458,               0.000458,               0.000458
                     66,                 1.1178,                0.70953,                 1.1553,                0.65688,                0.58116,                0.60716,                0.29514,                 1.9371,                 1.1839,                 1.4329,             0.00044563,             0.00044563,             0.00044563
                     67,                  1.119,                0.70574,                 1.1531,                0.60918,                0.61814,                0.61776,                0.30365,                 1.9056,                 1.1691,                  1.381,             0.00043325,             0.00043325,             0.00043325
                     68,                 1.1221,                0.70545,                 1.1563,                0.66105,                0.61442,                0.63278,                0.30516,                 1.9194,                  1.173,                 1.4072,             0.00042087,             0.00042087,             0.00042087
                     69,                 1.1214,                0.70873,                 1.1549,                0.66575,                0.60325,                0.62016,                0.29899,                 1.9264,                 1.2038,                 1.4084,              0.0004085,              0.0004085,              0.0004085
                     70,                  1.113,                0.70065,                 1.1528,                0.65306,                0.59817,                0.61052,                0.30153,                 1.9171,                 1.1898,                 1.4019,             0.00039613,             0.00039613,             0.00039613
                     71,                 1.1131,                0.70232,                 1.1567,                0.63414,                0.61982,                0.61936,                0.30359,                 1.9037,                 1.1858,                 1.3882,             0.00038375,             0.00038375,             0.00038375
                     72,                 1.1037,                0.69759,                 1.1462,                0.65247,                0.59896,                0.60906,                0.30056,                 1.9102,                 1.2205,                 1.3996,             0.00037138,             0.00037138,             0.00037138
                     73,                  1.104,                0.68922,                 1.1466,                0.65054,                0.60434,                0.61066,                0.30259,                 1.9003,                 1.2127,                 1.3992,               0.000359,               0.000359,               0.000359
                     74,                 1.0997,                0.69033,                 1.1404,                0.63314,                0.61009,                0.60903,                0.29865,                 1.9203,                 1.2049,                 1.4152,             0.00034663,             0.00034663,             0.00034663
                     75,                 1.0983,                0.68074,                 1.1424,                0.64361,                0.61973,                0.62136,                0.30241,                 1.9317,                 1.1807,                  1.407,             0.00033425,             0.00033425,             0.00033425
                     76,                 1.0973,                0.69006,                 1.1348,                0.63767,                0.62876,                0.61819,                0.29981,                 1.9183,                 1.1761,                 1.4045,             0.00032188,             0.00032188,             0.00032188
                     77,                 1.0929,                  0.679,                 1.1395,                0.65854,                0.62981,                0.63206,                0.30679,                 1.9235,                 1.1545,                 1.4104,              0.0003095,              0.0003095,              0.0003095
                     78,                  1.082,                0.67245,                 1.1377,                0.63967,                0.59071,                0.61601,                0.29935,                 1.9213,                 1.2028,                 1.4012,             0.00029713,             0.00029713,             0.00029713
                     79,                 1.0796,                0.66576,                 1.1327,                0.64751,                0.59948,                0.61105,                0.30007,                 1.9207,                 1.1935,                 1.4123,             0.00028475,             0.00028475,             0.00028475
                     80,                 1.0752,                0.66561,                 1.1275,                0.67054,                0.62918,                0.63046,                0.30943,                   1.92,                 1.1566,                 1.4068,             0.00027237,             0.00027237,             0.00027237
                     81,                 1.0829,                0.67073,                  1.135,                0.66709,                0.62114,                0.62176,                0.30645,                 1.9242,                 1.1909,                 1.4101,                0.00026,                0.00026,                0.00026
                     82,                 1.0702,                0.66087,                 1.1288,                0.63214,                0.62323,                0.61897,                0.30562,                 1.9218,                  1.157,                 1.4039,             0.00024762,             0.00024762,             0.00024762
                     83,                 1.0731,                0.66048,                 1.1285,                0.66135,                0.62276,                0.62492,                0.30607,                 1.9288,                 1.1736,                 1.4133,             0.00023525,             0.00023525,             0.00023525
                     84,                 1.0702,                 0.6615,                 1.1286,                0.68095,                0.63179,                0.63562,                0.30983,                  1.921,                 1.1478,                  1.409,             0.00022288,             0.00022288,             0.00022288
                     85,                 1.0594,                0.65397,                 1.1223,                0.66573,                0.61286,                0.61873,                0.30627,                 1.9182,                 1.1862,                 1.4015,              0.0002105,              0.0002105,              0.0002105
                     86,                 1.0616,                0.65037,                 1.1203,                0.65891,                0.62155,                0.62222,                0.30362,                 1.9283,                 1.1805,                  1.415,             0.00019813,             0.00019813,             0.00019813
                     87,                 1.0432,                0.63992,                 1.1181,                0.65521,                 0.6165,                0.62272,                 0.3062,                 1.9146,                  1.172,                 1.4055,             0.00018575,             0.00018575,             0.00018575
                     88,                 1.0604,                0.64772,                 1.1241,                0.64041,                0.61248,                0.61704,                0.30096,                 1.9279,                 1.1884,                 1.4052,             0.00017338,             0.00017338,             0.00017338
                     89,                 1.0471,                0.64148,                 1.1206,                0.67272,                  0.622,                0.61814,                0.30086,                 1.9308,                 1.1924,                 1.4158,               0.000161,               0.000161,               0.000161
                     90,                 1.0508,                0.64135,                 1.1194,                0.65971,                0.61669,                0.62255,                0.30461,                 1.9254,                 1.1891,                  1.414,             0.00014862,             0.00014862,             0.00014862
                     91,                 1.0219,                 0.5694,                 1.0979,                0.65499,                0.62713,                 0.6235,                0.30356,                 1.9239,                 1.1779,                 1.4102,             0.00013625,             0.00013625,             0.00013625
                     92,                 1.0085,                0.55136,                 1.0914,                0.67366,                0.63717,                0.63014,                0.30842,                 1.9128,                 1.1616,                 1.4069,             0.00012387,             0.00012387,             0.00012387
                     93,                 1.0015,                0.54465,                 1.0897,                 0.6676,                 0.6244,                0.62404,                0.30654,                 1.9154,                 1.1751,                 1.4108,              0.0001115,              0.0001115,              0.0001115
                     94,                 0.9982,                0.53975,                  1.088,                0.66568,                0.61823,                0.62053,                0.30446,                 1.9251,                 1.1713,                 1.4146,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.99049,                0.53533,                 1.0833,                0.67267,                0.63068,                0.63096,                0.30905,                 1.9236,                 1.1609,                 1.4163,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.98629,                0.53432,                 1.0812,                0.67589,                0.62578,                0.62901,                0.30962,                 1.9161,                  1.166,                 1.4047,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.97396,                0.52721,                 1.0764,                0.67005,                0.62039,                0.62325,                0.30679,                 1.9193,                 1.1758,                  1.412,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.97812,                0.52858,                 1.0774,                0.67441,                0.61281,                0.62317,                0.30818,                 1.9198,                 1.1818,                 1.4121,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.97168,                0.52703,                 1.0737,                0.67278,                0.61457,                0.62219,                0.30579,                 1.9271,                 1.1812,                 1.4198,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.97344,                0.52568,                 1.0728,                0.67706,                0.61457,                0.62273,                0.30637,                 1.9236,                 1.1781,                 1.4179,             2.4875e-05,             2.4875e-05,             2.4875e-05
